gherkin,caso de teste
"Given o usuário busca e seleciona um monitorado
When o resultado é exibido
Then a opção 'Limpar pesquisa' deve aparecer ao lado do nome do monitorado selecionado",Validar se após realizar a buscar e selecionar um monitorado no campo 'Pesquisar por nome do monitorado ou nome da mãe' a opção de 'Limpar pesquisa' será exibida junto do nome do monitorado selecionado
"Given o usuário fez uma pesquisa mas agora quer limpar
When o usuário seleciona 'Limpar pesquisa'
Then os valores devem ser exibidos conforme os filtros configurados na tela 'Listar agendamentos'",Validar se ao usuário selecionar a opção 'Limpar pesquisa' serão exibidos os valores na tela de 'Listar agendamento' de acordo com os filtros configurados
"Given o usuário acessa a tela de 'Listar agendamentos'
When o filtro por data de agendamento é exibido
Then a data corrente deve ser carregada inicialmente",Validar se o filtro carrega inicialmente a data corrente
"Given o usuário acessa a tela de 'Listar agendamentos'
When a data é exibida
Then a formatação deve ser dd/mm/yyyy",Validar se a formatação da data será dd/mm/yyyy
"Given o usuário acessa a tela de 'Listar agendamentos'
When o usuário tenta filtrar por datas
Then deve ser possível filtrar por datas anteriores e posteriores ao dia corrente",Validar se será possível filtrar por datas antes e depois do dia corrente
"Given o usuário acessa a tela de 'Listar agendamentos'
When o filtro por motivo de agendamento é exibido
Then deve selecionar todos os motivos válidos",Validar se inicialmente o filtro selecionarão todos os motivos
"Given o usuário acessa a tela de 'Listar agendamentos'
When o filtro por tipo de agendamento é exibido
Then deve selecionar todos os tipos de agendamento",Validar se inicialmente o filtro selecionarão todos os tipos de agendamentos
"Given o usuário acessa a tela de 'Listar agendamentos'
When o filtro por status de agendamento é exibido
Then deve selecionar todos os tipos de agendamentos",Validar se inicialmente o filtro selecionarão todos os tipos de agendamentos
"Given o usuário acessa a tela de 'Agendamentos'
When não existem agendamentos cadastrados
Then deve ser exibida a mensagem 'Não há agendamentos'",Validar se caso o usuário acesse a tela de 'Agendamentos' sem agendamentos cadastrados uma mensagem será exibida na tela
"Given o usuário realiza uma busca na tela de 'Listar agendamentos'
When nenhuma correspondência é encontrada
Then deve ser exibida a mensagem 'Não há agendamentos'",Validar se caso o usuário realize uma busca e não sejam exibidos resultados uma mensagem será exibida
